category	extension	common_app_or_tool	description
Expected UTF-8 text files	po	GNU gettext	Portable Object translation catalog.
Expected UTF-8 text files	podspec	CocoaPods	Ruby DSL package specification for CocoaPods.
Expected UTF-8 text files	pjson	Package manager / JSON tools	Project or package metadata stored as JSON-like text.
Expected UTF-8 text files	properties	Java	Java properties key-value configuration.
Expected UTF-8 text files	py	Python	Python source code.
Expected UTF-8 text files	rb	Ruby	Ruby source code.
Expected UTF-8 text files	response	Postman / HTTP client	Captured HTTP response text.
Expected UTF-8 text files	resx	Visual Studio	.NET XML resource file.
Expected UTF-8 text files	result	Test framework	Captured or expected test result text.
Expected UTF-8 text files	rs	Rust / Cargo	Rust source code.
Expected UTF-8 text files	scss	Sass	Sassy CSS stylesheet source.
Expected UTF-8 text files	sql	Database client	SQL script or query file.
Expected UTF-8 text files	sum	Go toolchain	Checksum manifest such as go.sum.
Expected UTF-8 text files	svg	Web browser / vector editor	Scalable Vector Graphics XML document.
Expected UTF-8 text files	svelte	Svelte	Svelte component file with markup, script, and style.
Expected UTF-8 text files	tbl	Text editor	Table data or troff tbl source.
Expected UTF-8 text files	test	Test runner	Generic test fixture or script.
Expected UTF-8 text files	test_slow	Test runner	Generic slow-test fixture or marker file.
Expected UTF-8 text files	tex	LaTeX	TeX or LaTeX source document.
Expected UTF-8 text files	texi	GNU Texinfo	Texinfo documentation source.
Expected UTF-8 text files	toml	Config tools	TOML configuration file.
Expected UTF-8 text files	ts	TypeScript	TypeScript source code.
Expected UTF-8 text files	tsx	TypeScript / React	TypeScript source with JSX.
Expected UTF-8 text files	txt	Text editor	Plain text document.
Expected UTF-8 text files	uue	uudecode	Uuencoded text representation of binary data.
Expected UTF-8 text files	xlf	Translation tool	XLIFF XML localization file.
Expected UTF-8 text files	xml	XML tools	XML structured data document.
Expected UTF-8 text files	yaml	Kubernetes / CI tools	YAML configuration document.
Expected UTF-8 text files	yml	Kubernetes / CI tools	YAML configuration document.
Expected non-text or unsupported files	3gp	Media player	3GPP mobile video container, binary media.
Expected non-text or unsupported files	11	Application-specific tool	Ambiguous numeric extension; not safe to assume UTF-8 text.
Expected non-text or unsupported files	afdesign	Affinity Designer	Affinity Designer binary design document.
Expected non-text or unsupported files	afphoto	Affinity Photo	Affinity Photo binary image document.
Expected non-text or unsupported files	avif	Image viewer / web browser	AVIF compressed image file.
Expected non-text or unsupported files	cr3	Canon Digital Photo Professional	Canon RAW camera image file.
Expected non-text or unsupported files	crt	OpenSSL / OS certificate manager	Certificate file that may be PEM text or DER binary; not safe to assume UTF-8.
Expected non-text or unsupported files	data	Application-specific tool	Generic application data file, often binary.
Expected non-text or unsupported files	data-00000-of-00001	TensorFlow / ML tooling	Sharded machine-learning data file, usually binary.
Expected non-text or unsupported files	dat	Application-specific tool	Generic data file, often binary.
Expected non-text or unsupported files	gpg	GnuPG	Encrypted or signed GnuPG data, often binary or armored ciphertext.
Expected non-text or unsupported files	graffle	OmniGraffle	OmniGraffle diagram document, not safe to treat as plain UTF-8 text.
Expected non-text or unsupported files	heic	Image viewer / Apple Photos	HEIC compressed image file.
Expected non-text or unsupported files	heif	Image viewer / Apple Photos	HEIF compressed image file.
Expected non-text or unsupported files	ico	Image viewer / web browser	Windows icon image file.
Expected non-text or unsupported files	jp2	Image viewer	JPEG 2000 compressed image file.
Expected non-text or unsupported files	lcl	Application-specific tool	Ambiguous local or cache file, not safe to assume UTF-8 text.
Expected non-text or unsupported files	m4a	Media player	MPEG-4 audio file.
Expected non-text or unsupported files	m4r	Media player / iTunes	MPEG-4 ringtone audio file.
Expected non-text or unsupported files	m4v	Media player	MPEG-4 video file.
Expected non-text or unsupported files	mov	QuickTime / media player	QuickTime video container.
Expected non-text or unsupported files	mp4	Media player	MPEG-4 video container.
Expected non-text or unsupported files	mpg	Media player	MPEG video file.
Expected non-text or unsupported files	pdf	PDF reader	Portable Document Format file, not plain UTF-8 text.
Expected non-text or unsupported files	pf	Application-specific tool	Ambiguous prefetch or application data file, often binary.
Expected non-text or unsupported files	snap	Snap / application-specific tool	Snap package or snapshot data, not plain UTF-8 text.
Expected non-text or unsupported files	storage_i	Storage engine	Application storage shard or index file, likely binary.
Expected non-text or unsupported files	ttf	Font viewer	TrueType font file.
Expected non-text or unsupported files	wasm	WebAssembly runtime	WebAssembly binary module.
